timestamp,.300BLK_3,.300BLK_5,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-29 00:01,482,,,,,,1280,,,1960,,519,3667,2537,519,5143,4437,417,,,,4914,1916,459,421,1911,5382,330,647,4962,1893,1918,5635,373,1889,5644,5421,,,448,6467,1498,6694,1810,442,351,4614,364,1761,409,1994,6954
2026-08-29 00:11,497,,,,1925,446,1325,,,,,519,3567,2537,519,5143,,432,,,404,4804,1941,459,421,1911,5382,315,,4897,1863,1918,5635,373,1889,5644,5421,,,448,6467,1498,6574,,,351,4614,344,1761,409,,6954
2026-08-29 00:21,497,5343,,,1925,446,,704,448,1840,631,519,3667,2622,,5143,4437,,1473,4115,,4914,,459,421,,5382,330,,5027,,1918,5705,373,1889,5644,5421,1646,446,448,6467,1498,6694,1770,442,351,4614,364,,409,1994,6954
2026-08-29 00:31,497,5343,500,,1960,446,,,448,1840,631,,3667,2622,554,,4437,432,1538,4115,,4914,,459,436,,5382,330,,5027,,,5705,373,1889,5644,5421,1646,461,468,6467,1498,6694,1810,442,351,4614,364,,439,1994,7099
2026-08-29 00:41,497,5343,,,1960,446,,664,418,1840,631,519,3667,2622,519,5143,4437,432,1538,4115,,4914,,459,436,,5382,,,5027,,1918,5705,373,1934,5644,5421,1681,461,468,6467,1498,6694,1810,,351,4679,344,,439,1994,7099
2026-08-29 00:51,497,5343,545,359,1960,446,,704,433,1840,631,519,3667,2622,519,5143,4437,432,1538,4115,,4914,,459,436,,5382,,,4962,,,5705,373,1934,5739,5496,,461,468,6467,1498,6694,1770,442,351,4679,344,,409,1994,7244
2026-08-29 01:01,497,5343,545,359,1960,446,,704,433,1840,631,519,3667,2622,519,5143,4437,432,1538,4115,,4914,,459,436,,5382,330,,4962,,,5705,373,1934,5739,5496,,461,468,6467,1498,6694,1770,442,351,4679,344,,409,1994,7244
2026-08-29 01:11,497,5343,,359,1995,446,1325,724,,1840,,519,3667,2622,519,5143,4437,432,1538,4115,,4914,,459,436,,5382,330,,5027,,,5705,373,1934,5739,5571,1646,461,468,6467,1498,6694,1810,442,351,4679,364,,439,1994,7244
2026-08-29 01:21,497,5343,545,339,1960,446,1325,724,418,1880,631,,3667,2537,554,5143,4437,432,1473,4115,404,4914,,459,436,,5382,330,,5027,,,5705,373,1889,5739,5571,1681,461,468,6467,1498,6694,1810,442,351,4679,344,,439,1994,7244
2026-08-29 01:31,512,5418,500,,1995,446,,724,,1880,631,519,3667,2622,554,5143,4437,432,1473,4115,,4914,,,436,,5382,330,,5092,,1883,5705,373,1889,5834,5646,1646,461,468,6467,1498,6694,1810,442,351,4744,344,,409,1994,7244
2026-08-29 01:41,512,5418,500,359,1995,446,,724,463,1880,631,519,3667,2622,519,5143,4492,432,1473,4115,,4914,,459,436,,5382,330,,5092,,,5705,373,,5834,5646,,461,468,6467,1498,6694,1810,442,351,4744,344,,409,1994,7244
2026-08-29 01:51,497,5418,,339,1890,446,,724,463,1880,631,,3667,2622,,,4492,,1538,4115,404,4914,,459,436,,5447,330,,5092,,1883,5705,373,1934,5834,5646,1681,461,468,6467,1498,6694,1810,422,351,4744,344,1721,409,1994,7244
