timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP FMJ,.45 ACP Super,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge DART,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP ST,4.6x30mm AP SX,4.6x30mm CT,4.6x30mm FMJ ST,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-14 00:01,,2317,5868,545,,,5587,,,378,440,388,1640,471,,2867,,,,3986,,2493,772,,192,1018,,,5189,,,1971,,,547,,2403,2548,5775,,,5359,5646,1786,,528,6067,1418,,,,1906,708,,,,,1994,6809
2026-09-14 00:11,,2317,5868,545,,,5587,,524,,400,388,,471,,2867,,,,3986,4217,2493,,1020,,1018,3275,614,5189,309,,1971,5252,,547,,,2548,5775,,,5359,5646,,371,,6067,1418,,,,1906,,,,,,1994,6954
2026-09-14 00:21,,,5868,545,,,5587,920,524,,440,388,1600,471,,2867,2197,,5323,4041,4217,,797,1020,192,1018,3275,,5189,309,,,5252,,,4832,,,5775,,,5359,5721,1681,371,,6067,1418,5614,,,,,4744,,,,1994,6954
2026-09-14 00:31,,,5868,,439,446,5652,920,584,,440,388,,,,2867,2197,589,5323,4041,4217,,797,1020,192,1018,3275,,5189,309,421,,5252,435,,5027,,,5775,433,,5359,5721,,371,,6067,1418,5614,,,,,4744,,,,1994,6954
2026-09-14 00:41,,,5868,,439,446,5652,920,584,,440,388,,471,,2867,,589,5323,4041,4217,,797,1020,192,,3275,,5189,309,421,,5252,420,,,,,5775,433,,5359,5721,,371,508,6067,1418,5614,,396,,,4744,,2201,,1994,6954
2026-09-14 00:51,482,,5868,545,,446,5652,920,544,,440,388,,471,,2867,2282,,5323,4041,4217,,797,1020,192,1018,3275,,5189,309,421,,5252,,,5157,,,5775,433,,5359,5721,,386,508,6067,1418,5614,,396,,,4744,,,,1994,6954
2026-09-14 01:01,482,,5868,,439,461,5652,920,524,,440,388,,,499,2867,2282,,,4041,4217,,797,1020,192,1018,3275,,5189,309,421,,5252,,,5157,,,5775,433,,5359,5721,,401,508,6067,1418,5614,,396,,,4744,,,,1994,6954
2026-09-14 01:11,482,,5868,,479,476,5652,,624,,440,388,1600,,519,2867,2282,,5323,4041,4217,,797,995,192,1018,3275,614,5189,309,421,,5317,450,,5157,,,5775,448,,5359,5721,,401,508,6067,1418,5614,502,396,,,4744,,,,1994,6809
2026-09-14 01:21,482,,5868,,479,476,5652,920,624,,440,388,1600,471,499,2867,2282,,,4041,4217,,797,1020,192,1018,3415,,5189,,421,,5317,450,,5157,,,5775,448,,5359,5721,,401,508,6067,1418,5614,502,396,,,4809,,,,1994,6954
2026-09-14 01:31,497,,5868,,459,476,5652,,564,,400,388,,471,499,2867,2197,,5323,4041,4217,,797,1020,192,1018,3275,,5189,324,436,,5382,450,,5222,,,5775,448,,5359,5721,,416,528,6067,1418,5614,502,396,,,4809,,,709,1994,6954
2026-09-14 01:41,497,,5868,,,476,5652,,584,,440,388,1600,,,2867,2197,589,5323,4041,4217,,797,1020,192,1018,3275,,5189,324,436,,5382,435,,5222,,,5845,448,,5359,5721,,416,528,6067,1418,5614,502,396,,,4809,,,709,1994,6809
2026-09-14 01:51,497,,5868,,419,476,5652,,584,,440,388,1600,471,519,2867,,,5323,4041,4217,,797,1020,192,1018,3275,764,5189,324,436,,5382,,,5222,,,5845,463,,5359,5721,,416,528,6067,1418,5614,502,396,,,4809,,,709,1994,6809
2026-09-14 02:01,497,,5868,,,476,5652,,564,,440,388,1600,471,,2867,2282,,5323,4041,4217,,797,1020,192,1018,3275,764,5189,324,436,,5382,450,,5287,,,5845,463,,5359,5721,,416,528,6067,1418,5614,502,396,,,4809,,,709,1994,6809
2026-09-14 02:11,497,,5868,590,419,476,5652,,584,,440,388,1600,471,,2867,,,5323,4041,4217,,797,1020,,,3275,794,5244,324,436,,5382,465,,5287,,,5845,463,,5359,5721,,416,,6067,1418,5614,502,396,,,4809,284,,679,1994,6954
2026-09-14 02:21,497,,5868,,419,476,5652,,604,,440,388,1600,471,,2867,2367,,5323,4041,4217,,797,995,192,,3275,764,5244,324,436,,5382,450,,5417,,,5845,463,,5359,5721,,416,528,6067,1418,5614,482,396,,,4809,284,,,1994,6954
2026-09-14 02:31,497,,5868,,419,476,5652,,564,,440,388,,471,499,2867,2367,,5323,4041,4217,,797,995,192,1018,3415,674,5244,324,436,,5382,465,,5287,,,5845,463,,5359,5721,,416,508,6067,1418,5614,502,396,,,4809,284,,769,1994,7099
2026-09-14 02:41,482,,5868,,419,476,5652,,564,,440,388,1600,471,499,2867,2367,,5323,4041,,,797,995,,1018,3275,674,5299,324,436,,5382,435,,5287,,,5845,463,,5359,5721,,416,528,6067,1418,5614,,396,,,4809,284,,769,1994,7099
2026-09-14 02:51,482,,5868,590,,476,5652,,604,,440,388,,471,,2867,2452,,5323,4041,4272,,797,995,192,1018,3275,644,5299,324,436,,5382,465,,5352,,,5845,463,,5359,5721,,416,528,6067,1418,5614,502,396,,,4809,284,,679,1994,7099
2026-09-14 03:01,482,,5868,590,,476,5652,,604,,440,388,1600,,,2867,2452,,5323,4041,4272,,797,995,,1018,3275,644,5299,324,436,,5382,465,,5352,,,5845,463,,5359,5721,,416,528,6067,1418,5614,482,396,,,4809,284,,679,,7099
