timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP Super,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge DART,12 Gauge 箭形弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP ST,4.6x30mm AP SX,4.6x30mm CT,4.6x30mm FMJ ST,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-16 00:01,437,2247,,258,,,2275,431,,,,373,440,388,471,,,,,,4041,,2373,797,970,177,1018,3135,494,,1841,294,391,,,527,,2223,2268,5565,,,,5496,1786,371,,,1378,5494,402,366,1846,688,,224,,,1994,6809
2026-09-16 00:11,437,2212,,258,500,299,2275,,5457,,504,368,440,,,519,,2197,484,,,,,772,970,177,,,494,4914,,294,391,,360,,4832,,,5565,388,2024,4979,5571,,,448,5967,1378,5494,402,351,,,4614,244,,,1994,6809
2026-09-16 00:21,452,,5643,,545,339,,,5457,830,,,,,,519,2767,,484,,4041,4107,2333,797,995,177,953,,494,4914,,,406,4992,375,,4897,,,5565,403,2069,4979,5571,,371,448,5967,1418,5494,422,351,,,4614,244,1921,,1994,6954
2026-09-16 00:31,452,,5718,,545,539,,,5457,830,,,,,,519,2767,,519,,4041,4107,2293,797,995,177,953,,,4914,,,406,4992,,,4897,,,5565,,2069,4979,5571,,371,448,5967,1418,5494,422,351,,,4614,244,1921,529,1994,6954
2026-09-16 00:41,452,,5718,,545,539,,446,5457,,524,,440,,,519,2767,,519,5143,4041,4162,,797,995,177,953,,494,4914,,309,406,,375,,4962,,,5635,,2069,5074,5646,,371,448,5967,1418,5494,422,366,,,4614,244,1921,589,1994,6809
2026-09-16 00:51,467,,5718,,500,479,,446,5457,875,584,,440,,,519,2767,,484,,4041,4162,,797,995,177,1018,3275,494,4914,,309,406,,375,,5027,,,5635,418,2114,5074,5646,,371,448,5967,1418,5494,422,366,,,4614,224,,559,1994,6809
2026-09-16 01:01,467,,5718,,500,479,,446,5457,875,584,,440,,,519,2767,,484,,4041,4162,,797,995,177,1018,,,4914,,309,406,4992,375,,5027,,,5635,418,2114,5074,5646,,371,448,5967,1418,5494,422,366,,,4614,224,,,1994,6809
2026-09-16 01:11,452,,5718,,545,419,,446,5457,875,604,,440,,,519,2767,2197,484,5143,4041,4162,,797,995,177,953,3275,524,4969,,309,406,,390,,4897,,,5705,418,2114,5074,5646,,371,448,5967,1418,5614,422,366,,,4679,244,1921,529,1994,6954
2026-09-16 01:21,467,,5718,,500,419,,446,5457,875,604,,440,,,519,2767,,519,5143,4041,4162,,797,995,177,1018,,494,5024,,309,406,,390,,5027,,,5705,418,2114,5074,5721,,386,448,6067,1418,5614,442,366,,,4744,224,1921,559,1994,6809
2026-09-16 01:31,452,,5718,,500,419,,446,5457,875,604,,440,,,519,2767,,519,5143,4041,4217,,797,995,177,953,3275,524,5024,,309,406,,390,,5027,,,5705,418,2114,5074,5721,,386,448,6067,1418,5614,442,366,,,4744,224,1921,589,1994,6954
2026-09-16 01:41,467,,5718,,500,459,,461,5522,875,,,,,,519,2767,,519,5143,4041,4217,,797,970,177,1018,,524,5024,,309,406,4992,375,,4962,,,5705,418,2114,5169,5721,,386,448,6067,1418,5614,422,366,,,4744,224,1921,619,1994,6954
2026-09-16 01:51,467,,5718,,500,339,,461,5522,830,604,,440,,,499,2767,2197,519,,4096,4217,,797,970,192,1018,,494,5024,,,406,5057,360,,4897,,,5705,418,2114,5264,5721,,386,448,6067,1418,5614,442,366,,,4809,244,1921,619,1994,6954
2026-09-16 02:01,467,,5718,,500,359,,461,5522,830,644,,440,,,499,,2197,,,4096,4217,,797,970,177,953,,494,,,309,,5057,360,,4897,,,5705,418,,5264,5721,,386,448,6067,1418,5614,442,366,,,4809,244,1921,619,1994,6954
2026-09-16 02:11,467,,5793,,500,639,,461,5522,875,624,,,,,519,2767,,484,5143,4096,4217,,797,995,192,1018,,734,5024,,309,406,5057,390,,4962,,,5705,418,2114,5264,5721,,386,448,6067,1418,5614,442,366,,,4809,244,1921,619,1994,6954
